,MAIN_ID,Z_VALUE,RA,DEC,GALDIM_MAJAXIS,GALDIM_MINAXIS,SCRIPT_NUMBER_ID
675,ACO  1890,0.05779099,14 17 41.62,+08 13 06.4,0.512,0.389,0
676,ACT-CL J1419.5+0647,0.11,14 19 36.200,+06 47 36.80,9.166667,9.166667,0
704,ZwCl 1455+2232,0.25762,14 57 15.2,+22 20 30,2.0,2.0,0
706,ACO  1991,0.05842299,14 54 41.53,+18 38 08.4,16.666666,16.666666,0
707,ACO  1983,0.04487038,14 52 59.33,+16 46 11.0,16.25,16.25,0
710,ACO  2163,0.201,16 15 46.1,-06 08 50,11.0,11.0,0
711,ClG J1504-0248,0.2168,15 04 07.4,-02 48 15,1.0,1.0,0
714,ACO  2051,0.1182,15 16 47.15,-01 00 32.8,21.25,21.25,0
716,ACO  2050,0.1191,15 16 18.7,+00 05 31,15.0,15.0,0
726,BAX 233.1222+04.6817,0.03827569,15 32 32.02,+04 40 51.6,16.25,16.25,0
731,ACO  2052,0.03491567,15 16 41.64,+07 01 45.5,20.416666,20.416666,0
732,ACT-CL J1521.8+0742,0.04419582,15 21 55.14,+07 41 27.2,21.0,21.0,0
733,ACO  2063,0.034,15 23 01.8,+08 38 22,19.666666,19.666666,0
746,ACO  2254,0.176,17 17 45.90,+19 40 22.8,15.333333,15.333333,0
754,AWM 4,0.0321142,16 04 52.01,+23 56 26.9,18.666666,18.666666,0
757,ClG J1720+2638,0.1604,17 20 09.6,+26 37 35,1.5,1.5,0
759,2MASX J17201001+2637317,0.16014,17 20 10.040,+26 37 32.06,0.343,0.261,0
764,ACO  2142,0.0903,15 58 14.38,+27 12 57.8,15.833333,15.833333,0
771,ACO  2175,0.096,16 20 30.70,+29 53 31.2,15.833333,15.833333,0
776,ACO  2261,0.2242,17 22 26.9,+32 07 58,13.76,13.76,0
778,ACO  2069,0.1139,15 24 02.92,+29 53 20.3,5.0,5.0,0
780,ACO  2065,0.0731,15 22 29.3,+27 42 22,20.416666,20.416666,0
787,ClG J1720+3536,0.39,17 20 16.8,+35 36 27,7.5,7.5,0
790,ACO  2061,0.0783,15 21 19.90,+30 37 13.0,7.5,7.5,0
795,ACO  2034,0.1132,15 10 12.96,+33 29 53.2,12.083333,12.083333,0
797,ACO  2111,0.2291,15 39 40.9,+34 25 04,14.333333,14.333333,0
804,ACO  2199,0.0309,16 28 43.31,+39 34 07.6,21.666666,21.666666,0
805,BAX 250.6621+39.5981,0.35338,16 42 38.9,+39 35 53,4.1666665,4.1666665,0
813,ACO  3391,0.055,06 26 15.4,-53 40 52,20.0,20.0,0
814,ACO  3395,0.051,06 27 31.1,-54 23 58,18.466667,18.466667,0
815,ACO S  520,0.295,05 16 37.40,-54 30 01.5,14.0,14.0,0
817,ClG 0657-56,0.296,06 58 29.6,-55 56 39,8.0,8.0,0
820,ACO  3128,0.063,03 29 50.6,-52 34 48,14.0,14.0,0
821,ACO  3158,0.059,03 42 39.6,-53 37 50,21.666666,21.666666,0
822,ACO  3017,0.2195,02 25 53.4,-41 54 58,12.166667,12.166667,0
824,ACO  3266,0.0577,04 31 11.9,-61 24 23,25.833334,25.833334,0
